id | url | detected_activity | severity | timestamp
61 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | Image results: [{'child exploitation': 0.5287933945655823}, {'drug trafficking': 0.963478147983551}] | High | 2024-11-19 19:58:23
62 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | High | 2024-11-19 19:58:45
63 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | Image results: [{'child exploitation': 0.6013558506965637}, {'drug trafficking': 0.5349146723747253}] | High | 2024-11-19 19:58:57
64 | http://emarketzhfjehkqd53lnjgmtvbf7tseydias4rjpazwifiqcotoi2gad.onion/product-category/porn/ | carding | High | 2024-11-19 19:59:37
65 | http://emarketzhfjehkqd53lnjgmtvbf7tseydias4rjpazwifiqcotoi2gad.onion/product-category/porn/ | carding | Image results: [{'drug trafficking': 0.8815972208976746}, {'drug trafficking': 0.8681309819221497}, {'drug trafficking': 0.6246492266654968}, {'illegal activities': 0.5335878729820251}, {'weapons': 0.560056746006012}] | High | 2024-11-19 20:00:09
66 | http://emarketzhfjehkqd53lnjgmtvbf7tseydias4rjpazwifiqcotoi2gad.onion/product-category/porn/ | carding | High | 2024-11-19 20:12:06
67 | http://emarketzhfjehkqd53lnjgmtvbf7tseydias4rjpazwifiqcotoi2gad.onion/product-category/porn/ | carding | High | 2024-11-19 20:50:28
68 | http://emarketzhfjehkqd53lnjgmtvbf7tseydias4rjpazwifiqcotoi2gad.onion/product-category/porn/ | carding | High | 2024-11-19 20:53:53
69 | http://emarketzhfjehkqd53lnjgmtvbf7tseydias4rjpazwifiqcotoi2gad.onion/product-category/porn/ | carding | High | 2024-11-19 20:54:33
70 | http://emarketzhfjehkqd53lnjgmtvbf7tseydias4rjpazwifiqcotoi2gad.onion/ | carding | High | 2024-11-19 20:56:29
71 | http://emarketzhfjehkqd53lnjgmtvbf7tseydias4rjpazwifiqcotoi2gad.onion/product-category/money-transfers/ | carding | High | 2024-11-19 20:59:21
72 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | High | 2024-11-19 21:02:19
73 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | High | 2024-11-19 21:12:37
74 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | High | 2024-11-19 21:42:09
75 | http://emarketzhfjehkqd53lnjgmtvbf7tseydias4rjpazwifiqcotoi2gad.onion/product-category/porn/ | carding | High | 2024-11-19 21:45:04
76 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | High | 2024-11-19 21:48:11
77 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | High | 2024-11-19 21:49:07
